EmpCode,Category,Process,Month,Cost
ATS97869,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS101097,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS100865,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS77912,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS95542,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS79652,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS94266,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS88535,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS99694,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS99259,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS70183,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS80030,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS84068,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS81898,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS71663,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS100986,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS101018,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS82844,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS90868,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS97868,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS101563,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS101564,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS101560,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS101715,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS101508,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS101562,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS101507,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS101561,Bajaj_Allianz-L1,Bajaj_Allianz-Noida,Dec,35175
ATS77904,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Aug,39000
ATS90866,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Aug,39000
ATS71184,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Aug,39000
ATS71663,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Aug,39000
ATS72994,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Aug,39000
ATS76448,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Aug,39000
ATS79652,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Aug,39000
ATS84075,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Aug,39000
ATS90865,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Aug,39000
ATS88535,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Aug,39000
ATS87782,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Aug,39000
ATS94263,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Aug,39000
ATS71663,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Sep,39000
ATS77904,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Sep,39000
ATS71184,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Sep,39000
ATS90866,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Sep,39000
ATS87782,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Sep,39000
ATS76448,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Sep,39000
ATS72994,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Sep,39000
ATS84075,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Sep,39000
ATS94263,Bajaj_Allianz-L2,Bajaj_Allianz-Noida,Sep,39000
